31006
1113;X = 2.531616	Y = 0.907227	Z = -2.688599
1118;X = 2.531616	Y = 0.907227	Z = -2.688599
1122;X = -3.124634	Y = 2.469971	Z = 3.468384
1126;X = -3.124634	Y = 2.469971	Z = 3.468384
1131;X = 0.499878	Y = -3.844238	Z = 0.937378
1135;X = 0.499878	Y = -3.844238	Z = 0.937378
1140;X = 1.342895	Y = -0.375610	Z = 3.031372
1144;X = 1.342895	Y = -0.375610	Z = 3.031372
1149;X = 1.342895	Y = -0.375610	Z = 3.031372
1154;X = 1.875488	Y = -3.530151	Z = 2.750732
1159;X = 1.875488	Y = -3.530151	Z = 2.750732
1163;X = -2.874268	Y = -1.312012	Z = -1.967773
1168;X = -2.874268	Y = -1.312012	Z = -1.967773
1172;X = 3.218872	Y = -0.281982	Z = 3.249268
1177;X = 3.218872	Y = -0.281982	Z = 3.249268
1181;X = -1.781738	Y = 0.062744	Z = -0.812866
1186;X = -1.781738	Y = 0.062744	Z = -0.812866
1190;X = -1.781738	Y = 0.062744	Z = -0.812866
1196;X = -2.155884	Y = -1.594116	Z = -1.437622
1200;X = -2.155884	Y = -1.594116	Z = -1.437622
1205;X = 0.625610	Y = 0.968384	Z = -3.187378
1209;X = 0.625610	Y = 0.968384	Z = -3.187378
1214;X = -1.187744	Y = 1.968506	Z = -0.188354
1218;X = -1.187744	Y = 1.968506	Z = -0.188354
1223;X = 1.155273	Y = 3.467529	Z = 2.811401
1227;X = 1.155273	Y = 3.467529	Z = 2.811401
1231;X = -2.343140	Y = -1.967895	Z = -3.156006
1236;X = -2.343140	Y = -1.967895	Z = -3.156006
1241;X = -2.343140	Y = -1.967895	Z = -3.156006
1246;X = -3.562744	Y = 1.907349	Z = -2.562012
1250;X = -3.562744	Y = 1.907349	Z = -2.562012
1255;X = -2.406738	Y = 2.343506	Z = 1.312866
1259;X = -2.406738	Y = 2.343506	Z = 1.312866
1264;X = 2.124634	Y = 2.593628	Z = 2.062866
1268;X = 2.124634	Y = 2.593628	Z = 2.062866
1273; = -2.843506	Y = 0.187988	Z = -0.812988
1277;X = -2.843506	Y = 0.187988	Z = -0.812988
1283;X = -3.249634	Y = 2.498901	Z = -1.500488
1287;X = -3.249634	Y = 2.498901	Z   -1.500488
1292;X = -3.249634	Y = 2.498901	Z = -1.500488
1296;X = 3.467895	Y = 2.936768	Z = -3.875488
1301;X = 3.467895	Y = 2.936768	Z = -3.875488
1305;X = -1.936523	Y = 2.125000	Z = -3.781860
1310;X = -1.936523	Y = 2.125000	Z = -3.781860
1314;X = -1.843262	Y = 0.407227	Z = -1.092773
1319;X = -1.843262	Y = 0.407227	Z = -1.092773
1324;X = 1.437622	Y = -2.530884	Z = 1.312866
1329;X = 1.437622	Y = -2.530884	Z = 1.312866
1333;X = 1.437622	Y = -2.530884	Z = 1.312866
1337;X = 0.218140	Y = 3.906494	Z = 2.999390
1342;X = 0.218140	Y = 3.906494	Z = 2.999390
1346;X = -2.656128	Y = -0.312256	Z = 1.062866
1351;X = -2.656128	Y = -0.312256	Z = 1.062866
1355;X = 1.250000	Y = -3.249023	Z = 3.625732
1360;X = 1.250000	Y = -3.249023	Z = 3.625732
1364;X = -3.844238	Y = -2.750122	Z = 0.249634
1370;X = -3.844238	Y = -2.750122	Z = 0.249634
1374;X = 2.811768	Y = -2.155762	Z = 3.031982
1379;X = 2.811768	Y = -2.155762	Z = 3.031982
1383;X = 2.811768	Y = -2.155762	Z = 3.031982
1388;X = 1.437744	Y = 2.500122	Z = 1.281982
1392;X = 1.437744	Y = 2.500122	Z = 1.281982
1397;X = -1.500244	Y = -2.063354	Z = -3.467651
1401;X = -1.500244	Y = -2.063354	Z = -3.467651
1406;X = -3.406982	Y = 0.249512	Z = -3.718262
1411;X = -3.406982	Y = 0.249512	Z = -3.718262
1416;X = -3.844238	Y = 2.875122	Z = -0.311768
1420;X = -3.844238	Y = 2.875122	Z = -0.311768
1425;X = -3.844238	Y = 2.875122	Z = -0.311768
1429;X = 0.093506	Y = -1.249268	Z = 3.938477
1434;X = 0.093506	Y = -1.249268	Z = 3.938477
1438;X = 0.312012	Y = 1.969482	Z = -3.37000
1442;X = 0.312012	Y = 1.969482	Z = -3.375000
1447;X = -2.437988	Y = -3.750122	Z = -3.655640
1452;X = -2.437988	Y = -3.750122	Z = -3.655640
1457;X = 3.156128	Y = 1.187500	Z = -2.281250
1461;X = 3.156128	Y = 1.187500	Z = -2.281250
1466;X = -1.000000	Y = 0.031738	Z = -1.717407
1470;X = -1000000	Y = 0.031738	Z = -1.717407
1475;X = -1.000000	Y = 0.031738	Z = -1.717407
1479;X = 3.061401	Y = 1.905884	Z = -2.187256
1484;X = 3.061401	Y = 1.905884	Z = -2.187256
1488;X = -2.188599	Y = 1.905640	Z = -2.031616
1494;X = -2.188599	Y = 1.905640	Z = -2.031616
1498;X = 2.374878	Y = -2.750488	Z = 0.500122
1503;X = 2.374878	Y = -2.750488	Z = 0.500122
1507;X = 1.780884	Y = 1.250122	Z = -0.343262
1512;X = 1.780884	Y = 1.250122	Z = -0.343262
1516;X = -1.094849	Y = -1.625366	Z = 1.531372
1520;X = -1.094849	Y = -1.625366	Z = 1.531372
1525;X = -1.094849	Y = -1.625366	Z = 1.531372
1529;X = -0.719604	Y = 3.562744	Z = 3.781372
1534;X = -0.719604	Y = 3.562744	Z = 3.781372
1539;X = 3.748901	Y = 2.593628	Z = -2.281128
1544;X = 3.748901	Y = 2.593628	Z = -2.281128
1548;X = -0.344116	Y = -2.218018	Z = -2.093140
1553;X = -0.344116	Y = -2.218018	Z = -2.093140
1557;X = -2.375610	Y = 3.937622	Z = -3.999145
1562;X = -2.375610	Y = 3.937622	Z = -3.999145
1566;X = -2.375610	Y = 3.937622	Z = -3.999145
1571;X = -0.406128	Y = 0.781128	Z = -1.562866
1575;X = -0.406128	Y = 0.781128	Z = -1.562866
1581;X = 0.031006	Y = -2.906372	Z = -1.718018
1585;X = 0.031006	Y = -2.906372	Z = -1.718018
1590;X = -3.687134	Y = 0.594238	Z = 2.592651
1594;X = -3.687134	Y = 0.594238	Z = 2.592651
1599;X = 3.186523	Y = 3.124756	Z = 1.812378
1603;X = 3.186523	Y = 3.124756	Z = 1.812378
1608;X = -0.124878	Y = -2.373657	Z = 1.031250
1612;X = -0.124878	Y = -2.373657	Z = 1.031250
1617;X = -0.124878	Y = -2.373657	Z = 1.031250
1622;X = -1.781006	Y = -1.655884	Z = 1.188599
1627;X = -1.781006	Y = -1.655884	Z = 1.188599
1631;X = 0.437378	Y = -0.531250	Z = 2.468384
1635;X = 0.437378	Y = -0.531250	Z = 2.468384
1640;X = 3.124390	Y = -1.594360	Z = -1.061401
1644;X = 3.124390	Y = -1.594360	Z = -1.061401
1649;X = 1.531128	Y = 2.750854	Z = -3.218140
1653;X = 1.531128	Y = 2.750854	Z = -3.218140
1658;X = 1.531128	Y = 2.750854	Z = -3.218140
1662;X = -2.562622	Y = 1.312622	Z = 3.186768
1668;X = -2.562622	Y = 1.312622	Z = 3.186768
1672;X = -1.562866	Y = -2.531494	Z = 1.125366
1677;X = -1.562866	Y = -2.531494	Z = 1.125366
1681;X = 0.281372	Y = -1.093628	Z = -1.813965
1686;X = 0.281372	Y = -1.093628	Z = -1.813965
1690;X = 1.999756	Y = -0.281616	Z = 0.531982
1695;X = 1.999756	Y = -0.281616	Z = 0.531982
1699;X = -3.032104	Y = 3.312744	Z = -0.187744
1704;X = -3.032104	Y = 3.312744	Z = -0.187744
1709;X = -3.032104	Y = 3.312744	Z = -0.187744
1714;X = -1.938477	Y = 2.749023	Z = 0.031006
1718;X = -1.938477	Y = 2.749023	Z = 0.031006
1723;X = -0.343262	Y = 1.031738	Z = 2.530640
1727;X = -0.343262	Y = 1.031738	Z = 2.530640
1732;X = 2.781982	Y = 0.468872	Z = .657227
1736;X = 2.781982	Y = 0.468872	Z = 1.657227
1740;X = -0.718262	Y = 1.906250	Z = 2.343994
1745;X = -0.718262	Y = 1.906250	Z = 2.343994
1750;X = 1.280518	Y = -0.719238	Z = 1.344238
1755;X = 1.280518	Y = -0.719238	Z = 1.344238
1759;X = 1.280518	Y = -0.719238	Z = 1.344238
1764;X = -2.124634	Y = 0.781982	Z = -3.375488
1768;X = -2.124634	Y = 0.781982	Z = -3.375488
1773;X = 3.563232	Y = -0.625244	Z = -0.843018
1777;X = 3.563232	Y = -0.625244	Z = -0.843018
1782;X = -0.625977	Y = -1.562256	Z = -3.937378
1786;X = -0.625977	Y = -1.562256	Z = -3.937378
1792;X = -3.063110	Y = 3.374878	Z = -3.750000
1796;X = -3.063110	Y = 3.374878	Z = -3.750000
1801;X = -3.063110	Y = 3.374878	Z = -3.750000
1805;X = 2.594727	Y = -1.687134	Z = -2.438232
1810;X = 2.594727	Y = -1.687134	Z = -2.438232
1814;X = -0.812622	Y = -3.594238	Z = 0.874634
1819;X = -0.812622	Y = -3.594238	Z = 0.874634
1823;X = -0.437744	Y = 1.562500	Z = -0.250244
1828;X = -0.437744	Y = 1.562500	Z = -0.250244
1832;X = -1.437744	Y = -1.719360	Z = -1.000000
1837;X = -1.437744	Y = -1.719360	Z = -1.000000
1842;X = -2.437378	Y = 3.250366	Z = 3.531982
1846;X = -2.437378	Y = 3.250366	Z = 3.531982
1851;X = -2.437378	Y = 3.250366	Z = 3.531982
1855;X = 2.406128	Y = 1.749878	Z = 3.061768
1860;X = 2.406128	Y = 1.749878	Z = 3.061768
1864;X = 1.436157	Y = 3.343262	Z = -0.344238
1869;X = 1.436157	Y = 3.343262	Z = -0.344238
1873;X = -3.625488	Y = 2.906860	Z = 1.187256
1879;X = -3.625488	Y = 2.906860	Z = 1.187256
1883;X = -3.218384	Y = 2.655884	Z = 0.282104
1888;X = -3.218384	Y = 2.655884	Z = 0.282104
1892;X = -3.218384	Y = 2.655884	Z = 0.282104
1897;X = -3.875610	Y = 2.812866	Z = -1.467407
1901;X = -3.875610	Y = 2.812866	Z = -1.467407
1906;X = 1.030151	Y = -0.562988	Z = 1.250977
1910;X = 1.030151	Y = -0.562988	Z = 1.250977
